Cotas e indexadores;;;;;;;;;;;
;;;;;;;;;;;
Fundos;COTA 26/08|NAV/Share 08/26;Dia;Mes;Ano;12 meses;24 meses;36 meses;Inicio;PL (R$);PL 12M (R$);PL Estratégia (R$)
Vista Multiestrategia FIM;2.59339595;-1.121255224;-6.910844657;-7.435394041;4.895505223;27.92574362;49.78289993;159.339595;357413704.9;271071081;401845620.7
%CDI;;-4936.591044;-1687.107028;-182.3100927;77.68254981;205.5922142;182.3651171;285.747693;;;
Vista Hedge FIM;1.10184375;-0.42518241;-2.145894926;0.535932509;6.088436269;N/D;N/D;10.184375;44431915.81;46867385.01;401845620.7
%CDI;;-1871.966017;-523.865691;13.14064928;96.61214363;;;122.217026;;;
Vista FIA;3.01068143;-1.744310174;-2.983756876;20.32609568;55.51124947;59.63013839;98.01049297;201.068143;203692526.1;116674950.2;203692526.1
%IBX;;128.7202722;60.13012209;182.5217149;189.8996828;158.8173672;141.1578973;209.675538;;;
BRAZIL OPPORTUNITIES FIM;1.21087361;-1.079462339;-1.221931487;17.66304631;N/D;N/D;N/D;21.087361;80010865.69;69005250.27;81010865.69
%CDI;;-4752.587995;-298.3035072;433.0841906;;;;406.7535161;;;
Vista Long Biased FIC;1;0;N/D;N/D;N/D;N/D;N/D;0;1000000;1000000;81010865.69
;;0;;;;;;0;;;
;;;;;;;;;;;
Indexadores;;Dia;Mes;Ano;12 meses;24 meses;36 meses;;;;
IBX;;-1.355116909;-4.962166669;11.13626162;29.2318811;37.54635871;69.4332339;;;;
CDI;;0.022713148;0.409626926;4.078432483;6.301936838;13.5830745;27.29847721;;;;
